,COMPOUND_ID,SOURCES,PCT_IHB_3D7,PCT_INHB_DD2,PCT_INHIB_3D7_PFLDH,pXC50_3D7,SMILES
29,538237,"TCMDC-123864, 638237 (CHEMBL), COMMERCIAL",99.0,3.0,0.0,6.13397,c1ccc(cc1)c2cnnc(n2)N3C(CC(=N3)c4ccccc4)(C(F)(F)F)O
30,538241,"TCMDC-138122, 638241 (CHEMBL)",96.0,87.0,2.0,6.27295,CCC[C@@H]([C@@H](CC1CCCCC1)C(=O)N[C@@H]([C@H](C)CC)C(=O)Nc2ccccn2)N(C=O)O
31,538243,"TCMDC-136559, 638243 (CHEMBL)",100.0,63.0,3.0,6.6376,c1cc(c(c(c1)F)F)CCc2nc(=O)c3cccnc3n2CC(=O)N(Cc4ccc(cc4)c5ccc(cc5)C(F)(F)F)C6CCN(CC6)C7CCSCC7.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
32,538364,"TCMDC-141662, 638364 (CHEMBL)",92.0,26.0,1.0,5.89684,CCCCCCN1CCC(CC1)NCc2ccc(cc2)CN(C)C.C(=O)(C(F)(F)F)O
33,538365,"TCMDC-135506, 638365 (CHEMBL)",98.0,99.0,0.0,7.07782,CCc1cn2c3c1cc(cc3N(S(=O)(=O)CC2)C(C)C)C(=O)N[C@@H](Cc4ccccc4)[C@@H](CNC5CCOCC5)O.C(=O)O
34,538397,"TCMDC-138959, 638397 (CHEMBL)",93.0,68.0,2.0,6.06949,COc1ccc(cc1)Cc2c(ccc(n2)/N=C(\N)/Nc3ccccc3)OC
35,541497,"TCMDC-136820, 641497 (CHEMBL)",100.0,100.0,0.0,6.68951,CC(=O)Nc1ccc(cn1)C(=O)Nc2cccc(c2)c3cccc(c3)c4[nH]c5ccccc5n4
36,538485,"TCMDC-124117, 638485 (CHEMBL), COMMERCIAL",97.0,87.0,0.0,6.0873,Cc1cc(c2c(c(sc2n1)C(=O)Nc3ccc(cc3)F)N)c4ccc(cc4)Cl
37,542411,"TCMDC-137074, 642411 (CHEMBL)",95.0,37.0,5.0,6.35669,CNC(=O)Cc1ccc(cc1)C(=O)Nc2cccc(c2)c3cccc(c3)c4[nH]c5ccc(cc5n4)C(F)(F)F
38,524838,"TCMDC-133409, 624838 (CHEMBL)",91.0,93.0,0.0,6.03635,c1ccc(cc1)NC(=O)Nc2ccc(cc2)c3ccc(nc3)N
39,538523,"TCMDC-131760, 638523 (CHEMBL)",99.0,0.0,0.0,6.72355,c1cc(ccc1OCCCCON)Br.Cl
40,538674,"TCMDC-124768, 638674 (CHEMBL), COMMERCIAL",87.0,34.0,0.0,5.8883,CCCS(=O)(=O)c1nc(c(s1)N2CCCCC2)S(=O)(=O)c3ccc(cc3)Cl
41,538756,"TCMDC-132692, 638756 (CHEMBL)",100.0,90.0,0.0,6.16779,c1cc(ccc1CN2CCC(CC2)C(=O)N)c3ccc(cc3)c4[nH]c5ccc(cc5n4)C(F)(F)F.C(=O)(C(F)(F)F)O
42,538758,"TCMDC-140510, 638758 (CHEMBL)",100.0,86.0,0.0,6.80902,COc1ccc2c(c1)c(ccn2)[C@H](CN3CCC(CC3)NCCOc4cc(cc(c4)F)F)O.C(=O)(C(=O)O)O
43,538759,"TCMDC-137569, 638759 (CHEMBL)",100.0,5.0,4.0,6.77702,CCCCN1CCN(CC1)CCCCNc2c3ccccc3nc4c2cccc4.Cl
45,285857,"TCMDC-137864, 385857 (CHEMBL)",93.0,0.0,2.0,8.06976,Cc1cc2c(n1C(C)C)ccc3c2c(nc(n3)N)N
46,538958,"TCMDC-131314, 638958 (CHEMBL)",99.0,0.0,0.0,6.73824,Cc1cc(cc2c1C(=O)CC(O2)(C)C)OCc3ccncc3
47,538996,"TCMDC-138523, 638996 (CHEMBL)",100.0,46.0,0.0,6.19596,CCOc1cc(ccc1N2CCN(CC2)CCCCNC(=O)c3ccc(cc3)NC(=O)c4ccc(cc4)Cl)C.Cl
48,538997,"TCMDC-141858, 638997 (CHEMBL)",90.0,23.0,0.0,5.99879,Cc1ccc(s1)C(=O)Nc2cccc(c2)CN3CCCN(CC3)Cc4ccc(cc4)O.C(=O)(C(F)(F)F)O
49,539126,"TCMDC-139353, 639126 (CHEMBL)",100.0,95.0,0.0,6.67376,Cc1cccc(n1)c2ccc(cc2C)NC(=O)Nc3ccc4c(c3)c(ccn4)N5CCN(CC5)C.Cl
50,539161,"TCMDC-135223, 639161 (CHEMBL)",99.0,97.0,0.0,6.09553,CCNc1cc(cc(c1)N2CCCCS2(=O)=O)C(=O)N[C@@H](Cc3ccccc3Cl)[C@@H](CNC4CCCCC4)O.Cl
51,539162,"TCMDC-139707, 639162 (CHEMBL)",100.0,88.0,4.0,6.13875,c1ccc2cc(ccc2c1)/C=C/C(=O)NC3CCC(CC3)CN4CCC(CC4)c5c[nH]c6c5cccc6
52,539164,"TCMDC-138873, 639164 (CHEMBL)",82.0,19.0,4.0,5.9384,CC(=C)Cn1cc(c2c1cccc2)C3CCN(CC3)CCCCNC(=O)c4c(nc(s4)c5ccc(cc5Cl)Cl)CO
53,541594,"TCMDC-133221, 641594 (CHEMBL)",100.0,64.0,2.0,6.48168,c1ccc2c(c1)[nH]c(n2)c3cc(cs3)c4ccc(cc4)NC(=O)Nc5ccc(c(c5F)F)F
54,539200,"TCMDC-139663, 639200 (CHEMBL)",95.0,59.0,0.0,6.09625,Cc1c[nH]c2c1ccc(c2)/C=C/C(=O)NC3CCC(CC3)CCN4CCc5ccc(cc5CC4)C#N.Cl
55,538259,"TCMDC-123803, 638259 (CHEMBL), COMMERCIAL",99.0,38.0,0.0,6.15665,CCN1CCN(CC1)c2cc(c3cc(ccc3n2)NC(=O)C=Cc4cccc(c4OC)OC)C
56,538295,"TCMDC-124987, 638295 (CHEMBL), COMMERCIAL",100.0,65.0,0.0,5.97012,CCNc1cc(nc(n1)Nc2ccc(cc2)NC(=O)c3ccc(c(c3)OC)OC)C
57,538300,"TCMDC-140435, 638300 (CHEMBL)",93.0,10.0,2.0,5.99599,Cc1cc2c(cc1C)nc([nH]2)c3ccc(cc3)/C=C/C(=O)NC4CCCCC4
